id_evento,data_evento,nome_evento,cidade_evento,estado_evento,categoria_evento
72,2026-04-03,Paixão de Cristo,Gastão Vidigal,SP,NaN
73,2026-03-31,Pedalada Saudável,Itapiratins,TO,NaN
74,2026-03-29,45° Festejando Parobé,Parobé,RS,NaN
75,2026-03-28,ANIVERSÁRIO DE PORTO ALEGRE,Porto Alegre,RS,NaN
76,2026-03-24,Romaria de nascimento do Padre Cícero,Juazeiro do Norte,CE,NaN
77,2026-03-22,Trilha ou vai ou racha,Breu Branco,PA,NaN
78,2026-03-22,PRADO MOTOROCK 2026,Prado,BA,NaN
79,2026-03-15,8° ENCONTRO DE FUSCAS E DERIVADOS / 5º ENCONTRO DE CARROS CLÁSSICOS...,Cachoeira do Sul,RS,NaN
80,2026-03-08,Festa Nacional da Uva,Caxias do Sul,RS,NaN
81,2026-03-08,35ª Festa Nacional da Uva,Caxias do Sul,RS,NaN
82,2026-03-06,Paixão de Cristo,São Miguel das Missões,RS,NaN
83,2026-03-05,Festejo de Santa Cruz,São Desidério,BA,NaN
84,2026-03-05,Expo Potengi,São Paulo do Potengi,RN,NaN
85,2026-03-04,Tupaciguara Folia,Tupaciguara,MG,NaN
86,2026-03-03,EMANCIPAÇÃO MUNICIPAL DE PÃO DE AÇÚCAR,Pão de Açúcar,AL,NaN
87,2026-03-01,Vindima em Gramado,Gramado,RS,NaN
88,2026-03-01,Fecouva,Flores da Cunha,RS,NaN
89,2026-02-28,Vindima Makhall,Pinheiro Preto,SC,NaN
90,2026-02-22,Aniversário da Cidade,São Desidério,BA,NaN
91,2026-02-18,Redenção Folia - O Carnaval da família,Redenção da Serra,SP,NaN
92,2026-02-18,Carnaval de Aracati,Aracati,CE,NaN
93,2026-02-18,Carnaval de Almino Afonso,Almino Afonso,RN,NaN
94,2026-02-18,Batafolia,Bataguassu,MS,NaN
95,2026-02-17,Ipu Folia,Ipu,CE,NaN
96,2026-02-17,Genas Folia 2026,General Sampaio,CE,NaN
97,2026-02-17,Conceição Folia 2026,Conceição das Alagoas,MG,NaN
98,2026-02-17,Carnaval,Santa Branca,SP,NaN
99,2026-02-17,Carnaval,Laguna,SC,NaN
100,2026-02-17,Carnaval de Todos: O Nosso Carnaval Cultural,Lajes,RN,NaN
101,2026-02-17,Carnaval de Rua de Januária,Januária,MG,NaN
102,2026-02-17,Carnaval de Ponta Grossa,Ponta Grossa,PR,NaN
103,2026-02-17,Carnaval Angra 2026,Angra dos Reis,RJ,NaN
104,2026-02-17,Carnaindi,Indianópolis,MG,NaN
105,2026-02-15,Carnaval,Gastão Vidigal,SP,NaN
106,2026-02-15,Bloco carnavalesco Suvaco do Careca,Natal,RN,NaN
107,2026-02-13,Show Rural Coopavel,Cascavel,PR,NaN
108,2026-02-13,Festival do Buriti,Divinópolis do Tocantins,TO,NaN
109,2026-02-08,Festa da Uva de Colombo,Colombo,PR,Social/Cívico/Histórico
110,2026-02-08,Estação Verão Praia (Arenas de Verão),Praia Grande,SP,NaN
111,2026-02-07,Gramado In Concert,Gramado,RS,NaN
112,2026-02-02,Romaria de Nossa Senhora das Candeias,Juazeiro do Norte,CE,NaN
113,2026-02-02,Festival Gastronômico Garopaba Sabor,Garopaba,SC,NaN
114,2026-02-02,Festa de Navegantes,Garopaba,SC,NaN
115,2026-02-01,Festival Sana,Fortaleza,CE,NaN
116,2026-02-01,11º Desafio Rota do Vinho,Bituruna,PR,Esportivo
117,2026-01-31,ESTAÇÃO VERÃO SHOW,Praia Grande,SP,NaN
118,2026-01-31,31º Salão de Artes Plásticas,Praia Grande,SP,Artístico/Cultural/Folclórico
119,2026-01-25,Rio Bossa Nossa,Rio de Janeiro,RJ,NaN
120,2026-01-25,Off Road Bataguassu,Bataguassu,MS,NaN
121,2026-01-25,112º Romaria e Festa do Bom Jesus dos Navegante e 37º Encontro Cultu...,Propriá,SE,NaN
122,2026-01-24,MADRE VERÃO,Madre de Deus,BA,NaN
123,2026-01-21,Festival de Cultura de Santa Inês 2026,Santa Inês,BA,NaN
124,2026-01-20,Romaria de São Sebastião,Juazeiro do Norte,CE,NaN
125,2026-01-20,Natal Encantado,Taiobeiras,MG,NaN
126,2026-01-20,Levantamento do Mastro de São Sebastião,Igarapé-Açu,PA,NaN
127,2026-01-20,Festa de São Sebastião,Bonito,PE,Religioso
128,2026-01-20,Festa São Sebastião,Descalvado,SP,NaN
129,2026-01-18,Natal Luz de Gramado,Gramado,RS,NaN
130,2026-01-18,38º Sonho de Natal de Canela,Canela,RS,NaN
131,2026-01-18,20° Festa da Melancia de Parobé,Parobé,RS,NaN
132,2026-01-17,Kerb Piratuba,Piratuba,SC,NaN
133,2026-01-17,Celebração em memória da morte da Beata Maria de Araújo,Juazeiro do Norte,CE,NaN
134,2026-01-11,Natal dos Sonhos,Laguna,SC,NaN
135,2026-01-11,Cavalgada de São Sebastião,Parelhas,RN,NaN
136,2026-01-07,Centenários dos Planetários: evento gratuito celebra 100 anos da inv...,São Paulo,SP,NaN
137,2026-01-06,Romaria do Ciclo Natalino,Juazeiro do Norte,CE,NaN
138,2026-01-06,Presépio e Natal de Luz,Santana de Parnaíba,SP,Religioso
139,2026-01-06,Natal,Amparo,SP,Artístico/Cultural/Folclórico
140,2026-01-06,Natal no Caminho das Estrelas,Carlos Barbosa,RS,NaN
141,2026-01-06,Natal de Curitiba,Curitiba,PR,NaN
142,2026-01-06,Natal Regional,Felipe Guerra,RN,Artístico/Cultural/Folclórico
143,2026-01-06,Natal Encantado de Itapeva,Itapeva,MG,NaN
144,2026-01-06,Natal Cidade Presepio,Santa Branca,SP,NaN
145,2026-01-06,NATAL ENCANTADO DE RIACHO DA CRUZ/RN,Riacho da Cruz,RN,NaN
146,2026-01-06,Encontro Regional de Folia de Reis,Indianópolis,MG,NaN
147,2026-01-06,ESTAÇÃO NATAL,Mossoró,RN,Outro
148,2026-01-06,DIA DE REIS,Parintins,AM,Artístico/Cultural/Folclórico
149,2026-01-05,NATAL LUZ,Rio Verde,GO,Social/Cívico/Histórico
150,2026-01-05,Angra 524 Anos,Angra dos Reis,RJ,NaN
151,2026-01-04,Réveillon,Arraial do Cabo,RJ,Artístico/Cultural/Folclórico
152,2026-01-04,Natal em Pomerode,Pomerode,SC,NaN
153,2026-01-04,Natal de Joinville,Joinville,SC,NaN
154,2026-01-04,Natal da Esperança,Lucas do Rio Verde,MT,Artístico/Cultural/Folclórico
155,2026-01-04,Natal Imperial,Petrópolis,RJ,Artístico/Cultural/Folclórico
156,2026-01-04,Natal Encantado,Itupeva,SP,NaN
157,2026-01-04,Magia do Natal,Nova Petrópolis,RS,NaN
158,2026-01-04,Festividade de Santos Reis,Poço das Trincheiras,AL,NaN
159,2026-01-04,13º Guararema Cidade Natal,Guararema,SP,Artístico/Cultural/Folclórico
160,2026-01-02,Let's Pipa,Tibau do Sul,RN,Artístico/Cultural/Folclórico
161,2026-01-02,Festa do Padroeiro,Matriz de Camaragibe,AL,NaN
162,2026-01-02,Festa Jubileu de 50 anos Comunidade Nossa Senhora Aparecida - Rio da G...,Laranjal,PR,NaN
163,2026-01-02,112º Romaria e Festa do Bom Jesus dos Navegante e 37º Encontro Cultu...,Propriá,SE,NaN
164,2026-01-01,Virada in FG,Felipe Guerra,RN,Social/Cívico/Histórico
165,2026-01-01,VIRADA NO LAGO 2026,Fraiburgo,SC,NaN
166,2026-01-01,Sonho de Natal,Charqueada,SP,NaN
167,2026-01-01,Réveillon,Piratuba,SC,NaN
168,2026-01-01,Réveillon nas  Missões,São Miguel das Missões,RS,NaN
169,2026-01-01,Réveillon de Florânia,Florânia,RN,Social/Cívico/Histórico
170,2026-01-01,Réveillon da Esperança,Lucas do Rio Verde,MT,Artístico/Cultural/Folclórico
171,2026-01-01,Réveillon da Cidade,Nhamundá,AM,Outro
172,2026-01-01,Réveillon Aracaju 2026,Aracaju,SE,Outro
173,2026-01-01,Réveillon 2026 no Município de Monte Alegre/RN,Monte Alegre,RN,NaN
174,2026-01-01,RÉVEILLON,Parintins,AM,Artístico/Cultural/Folclórico
175,2026-01-01,Reveilon,Indianópolis,MG,NaN
176,2026-01-01,Reveillon,Serra Negra,SP,Artístico/Cultural/Folclórico
177,2026-01-01,Reveillon em Laguna,Laguna,SC,NaN
178,2026-01-01,Reveillon do Parque Anauá,Boa Vista,RR,NaN
179,2026-01-01,Reveillon de Vila Velha 2025/2026,Vila Velha,ES,NaN
180,2026-01-01,Reveillon Ariquemes,Ariquemes,RO,NaN
181,2026-01-01,REVEILLON DE CENTRALINA,Centralina,MG,NaN
182,2026-01-01,Presente de Natal,Altamira,PA,Comercial ou Promocional
183,2026-01-01,Festa de Bom Jesus dos Navegantes da comunidade de Mangue Seco,Jandaíra,BA,NaN
184,2026-01-01,Festa da Padroeira de Nossa Senhora do Rosário,Acari,RN,Artístico/Cultural/Folclórico
185,2026-01-01,Aniversário da Cidade,Tupiratins,TO,NaN
186,2026-01-01,47ª Procissão Marítima de Angra dos Reis,Angra dos Reis,RJ,NaN
187,2025-12-31,festival boi acari,São João do Acangata,PA,NaN
188,2025-12-31,VÉSPERA DE ANO NOVO(REVEILLON),Altamira,PA,Outro
189,2025-12-31,Virada In FG,Felipe Guerra,RN,NaN
190,2025-12-31,ULTRA MARATONA MTB CALUBA SEMENTES,Abelardo Luz,SC,NaN
191,2025-12-31,Trail Raiz Descalvado,Descalvado,SP,NaN
192,2025-12-31,Tianguá Fest - Aniversário de Tianguá,Tianguá,CE,NaN
193,2025-12-31,São João Gastronômico de Meaípe,Guarapari,ES,NaN
194,2025-12-31,Sinos de Natal,Flores da Cunha,RS,NaN
195,2025-12-31,SHOW DA VIRADA - REVILLON,Jaguaré,ES,Outro
196,2025-12-31,Réveillon,Pingo-D'Água,MG,NaN
197,2025-12-31,Réveillon Aracruz,Aracruz,ES,NaN
198,2025-12-31,Réveillon Alter do Chão,Alter do Chão,PA,NaN
199,2025-12-31,Réveillon 2026,Angra dos Reis,RJ,NaN
200,2025-12-31,RÉVEILLON,Fernando Pedroza,RN,Artístico/Cultural/Folclórico
201,2025-12-31,RÉVEILLON NA PRAIA DO CAPITÃO,Igarassu,PE,NaN
202,2025-12-31,Reveion,Gastão Vidigal,SP,NaN
203,2025-12-31,Reveillon da  Ilha,Ilha Comprida,SP,NaN
204,2025-12-31,Regata de Bom Jesus dos Navegantes,Jandaíra,BA,Esportivo
205,2025-12-31,REVEILLON DELMIRO GOUVEIA,Delmiro Gouveia,AL,NaN
206,2025-12-31,Quinta do Caranguejo,Fortaleza,CE,Gastronômico
207,2025-12-31,Natal Tempo de esperança,Jales,SP,NaN
208,2025-12-31,Natal Encantado,Cajati,SP,NaN
209,2025-12-31,NATAL LUZ,Viana,ES,NaN
210,2025-12-31,NATAL LUZ,Igarassu,PE,NaN
211,2025-12-31,NATAL ENCANTADO E REVEILLON,Paranaitá,MT,NaN
212,2025-12-31,NATAL DE LUZ,Armação dos Búzios,RJ,Artístico/Cultural/Folclórico
213,2025-12-31,Motofest,Tianguá,CE,NaN
214,2025-12-31,Mira com Cristo,Miracatu,SP,NaN
215,2025-12-31,Juruá Sustentável,Juruá,AM,NaN
216,2025-12-31,Férias no Museu,Praia Grande,SP,NaN
217,2025-12-31,Festival da Diversidade,Praia Grande,SP,NaN
218,2025-12-31,Festival Nacional de Teatro de Jales,Jales,SP,NaN
219,2025-12-31,Festa da Padroeira Santa Luzia,Carnaubais,RN,NaN
220,2025-12-31,Feira da Lua,Rancharia,SP,NaN
221,2025-12-31,Feira Livre Municipal Bicas,Bicas,MG,NaN
222,2025-12-31,FESTIVAL DA LAGOSTA,Areia Branca,RN,NaN
223,2025-12-31,FESTA DE EMANCIPAÇÃO,Pedro Avelino,RN,NaN
224,2025-12-31,FESTA DE EMANCIPAÇÃO POLITICA SÃO MIGUEL DO GOSTOSO,São Miguel do Gostoso,RN,NaN
225,2025-12-31,FESTA DA VIRADA,Holambra,SP,Artístico/Cultural/Folclórico
226,2025-12-31,FESTA DA VIRADA EM NATIVIDADE DA SERRA,Natividade da Serra,SP,Artístico/Cultural/Folclórico
227,2025-12-31,Encontro de Antigomobilismo,Santana de Parnaíba,SP,NaN
228,2025-12-31,ENCONTRO NA PRAÇA,Fernando Pedroza,RN,Artístico/Cultural/Folclórico
229,2025-12-31,Dino's Rock 2025,Uberaba,MG,NaN
230,2025-12-31,Desfile Cívico – 90 anos de Pompei,Pompéia,SP,NaN
231,2025-12-31,Cavalgada Ecológica,Taquaritinga do Norte,PE,NaN
232,2025-12-31,Brilha Parelhas,Parelhas,RN,NaN
233,2025-12-31,61ª FESTA DA JUVENTUDE - SANTANA DO IPANEMA/AL,Santana do Ipanema,AL,NaN
234,2025-12-31,5º Festival ISO 2025,Belo Horizonte,MG,NaN
235,2025-12-31,3ª EXPOCERVI,Viana,ES,NaN
236,2025-12-31,1º USC FEST CAR,Paranapanema,SP,NaN
237,2025-12-31,1ª Semana de Moda Sustentável do Circuito de Brechós,Belo Horizonte,MG,NaN
238,2025-12-31,19o Festival Internacional de Dança de Cabo Frio,Cabo Frio,RJ,NaN
239,2025-12-31,11ª Festival de Natal e Ano Novo no município de Monte Alegre/RN (So...,Monte Alegre,RN,NaN
240,2025-12-31,"“Sálvia – Festival de Arte, Cultura e Gastronomia”",Caxias do Sul,RS,NaN
241,2025-12-30,Show: “Rota 69” de Marina Lima,Belo Horizonte,MG,NaN
242,2025-12-30,ROTA DAS PEDRAS,Marabá,PA,NaN
243,2025-12-30,Natal do Coração,Lajeado,RS,NaN
244,2025-12-30,NATAL ENTRE AS MONTANHAS,Natividade da Serra,SP,Social/Cívico/Histórico
245,2025-12-30,Festival Regional de Quadrilhas Juninas de Uruburetama 2025,Uruburetama,CE,NaN
246,2025-12-30,7ª CAVALGADA MUNICIPAL,Piquet Carneiro,CE,NaN
247,2025-12-29,Natal Regional,Felipe Guerra,RN,NaN
248,2025-12-29,Aniversário do Município de Limoeiro do Ajuru,Limoeiro do Ajuru,PA,NaN
249,2025-12-29,Aniversário da Cidade,Piçarra,PA,NaN
250,2025-12-28,São Pedro,Capela,AL,NaN
251,2025-12-28,Corrida Cesan 2025,Vila Velha,ES,Esportivo
252,2025-12-28,COB EXPO,São Paulo,SP,NaN
253,2025-12-28,Aniversário de Itapagipe,Itapagipe,MG,NaN
254,2025-12-28,Aniversário da Cidade de Curuá,Curuá,PA,NaN
255,2025-12-28,"10º CIACT-SAD - Congresso Internacional de Arte, Ciência e Tecnologi...",Belo Horizonte,MG,NaN
256,2025-12-27,Encanto das Luzes - Parada de Natal,Serra Negra,SP,Artístico/Cultural/Folclórico
257,2025-12-27,7º Festival de Verão de Camocim,Camocim,CE,NaN
258,2025-12-26,Mossoró sal e luz,Mossoró,RN,NaN
259,2025-12-26,CINEMA CIENTÍFICO - A Batalha das Correntes (2017),São Paulo,SP,NaN
260,2025-12-25,Natal de Campo Largo,Campo Largo,PR,Artístico/Cultural/Folclórico
261,2025-12-25,Natal Arcanjo,São Miguel das Missões,RS,NaN
262,2025-12-25,NATAL SOLENE,Canindé,CE,Religioso
263,2025-12-25,Aniversario de Pingo D'Água,Pingo-D'Água,MG,NaN
264,2025-12-24,Natal Luz,Guaratinguetá,SP,NaN
265,2025-12-24,Brilho de Natal,Piratuba,SC,NaN
266,2025-12-23,Tatuí Natal Encantado,Tatuí,SP,Social/Cívico/Histórico
267,2025-12-23,III NATAL ENCANTADO E III CONCURSO DE VITRINES NATALINAS,Jaguaré,ES,Artístico/Cultural/Folclórico
268,2025-12-23,FESTA DE EMANCIPAÇÃO DE PEDRO AVELINO,Pedro Avelino,RN,NaN
269,2025-12-23,5º Fantástico Natal de Castro,Castro,PR,NaN
270,2025-12-22,Natal Tempo de Esperança,Jales,SP,NaN
271,2025-12-22,NATAL DA ESPERANÇA,Delmiro Gouveia,AL,NaN
272,2025-12-22,Exposição de Presépio,Itu,SP,NaN
273,2025-12-21,Natal magico de holambra,Holambra,SP,Artístico/Cultural/Folclórico
274,2025-12-21,Feira da Estação,Blumenau,SC,Artístico/Cultural/Folclórico
275,2025-12-21,FESTIVAL DAS PASTORINHAS,Parintins,AM,Artístico/Cultural/Folclórico
276,2025-12-21,Expo Uva,Itupeva,SP,NaN
277,2025-12-21,Cavalgada da Serra Branca de Vieirópolis,Vieirópolis,PB,Artístico/Cultural/Folclórico
278,2025-12-21,Amigos da Carroça,São José do Ouro,RS,NaN
279,2025-12-21,31º Festival dos caminhoneiros de Tabuleiro do Norte,Tabuleiro do Norte,CE,NaN
280,2025-12-21,1° ENCONTRO MINEIRO DE FERREOMODELISMO - EDIÇÃO SANTOS DUMONT-MG,Santos Dumont,MG,NaN
281,2025-12-21,"TOMAZINA LUZ, JESUS VIVE",Tomazina,PR,Artístico/Cultural/Folclórico
282,2025-12-20,Natal Encantado,Feira de Santana,BA,NaN
283,2025-12-20,MDF EXPERIENCE,Foz do Iguaçu,PR,Esportivo
284,2025-12-20,FEIRA TURÍSTICA E CULTURAL DO XARÉU,Arraial do Cabo,RJ,Artístico/Cultural/Folclórico
285,2025-12-20,Comemoração de Natal,Cotia,SP,NaN
286,2025-12-19,Weihnachtsmarkt - Mercado de Natal,Ibirama,SC,NaN
287,2025-12-19,Natal da Esperança,Santa Vitória do Palmar,RS,NaN
288,2025-12-18,Samba Prime 2025 - Edição Especial de 10 anos,Belo Horizonte,MG,NaN
289,2025-12-18,Expovet 2025,Belo Horizonte,MG,NaN
290,2025-12-18,33 ROMARIA DIOCESANA,Fraiburgo,SC,NaN
291,2025-12-17,Procissão do Fogaréu,São Cristóvão,SE,NaN
292,2025-12-17,Aniversário da Cidade,Indianópolis,MG,NaN
293,2025-12-16,FESTA DA EMANCIPAÇÃO POLITICA DE JAGUARE,Jaguaré,ES,Social/Cívico/Histórico
294,2025-12-15,Lapa 256 Anos,Lapa,PR,NaN
295,2025-12-14,TRILHA DA FIA - 10° EDIÇÃO,Canindé,CE,Esportivo
296,2025-12-14,Salvador Orgulho,Salvador,BA,NaN
297,2025-12-14,MinasTchê 2025,Belo Horizonte,MG,NaN
298,2025-12-14,Festival do Queijo Artesanal de Minas 2025,Belo Horizonte,MG,NaN
299,2025-12-14,Festejos de Iemanjá,Praia Grande,SP,Religioso
300,2025-12-14,Festa de Santo Antônio,Jandaíra,BA,NaN
301,2025-12-14,Festa de Louvor a Santa Luzia,Espírito Santo do Pinhal,SP,NaN
302,2025-12-14,EMAPA – Exposição Municipal Agropecuária de Avaré,Avaré,SP,NaN
303,2025-12-14,Cidade Junina 2025,Belo Horizonte,MG,NaN
304,2025-12-14,Bailes da Melhor Idade - Especial de Fim de Ano,São Roque,SP,Artístico/Cultural/Folclórico
305,2025-12-14,5ª EDIÇÃO DA CANTATA DE NATAL,Armação dos Búzios,RJ,Artístico/Cultural/Folclórico
306,2025-12-14,4º Fórum de Turismo Regional,Caieiras,SP,NaN
307,2025-12-14,34º Aniversário de Breu Branco,Breu Branco,PA,NaN
308,2025-12-14,32º FESTIVAL GAÚCHO ESTADUAL ESTUDANTIL - FEGAES,Cachoeira do Sul,RS,NaN
309,2025-12-13,Festa da Padroeira Santa Luzia,Carnaubais,RN,NaN
310,2025-12-13,Encontro Náutico Amigos do Sucuriú,Três Lagoas,MS,Outro
311,2025-12-13,ESPETACULO DE FIM DE ANO ESCOLA MUNICIPAL DE DANÇA,Altamira,PA,Artístico/Cultural/Folclórico
312,2025-12-13,BIENAL INTERNACIONAL DO LIVRO DO CEARÁ,Fortaleza,CE,NaN
313,2025-12-13,ARRAIÁ DO NHÔ MUSA,Avaré,SP,NaN
314,2025-12-13,"Festa de Santa Luzia – Comunidade de Piranjí, Jandaíra-BA",Jandaíra,BA,NaN
315,2025-12-12,Picos Run,Picos,PI,NaN
316,2025-12-12,Encerramento da fase diocesana da Causa de Beatificação do Servo de ...,Marco,CE,NaN
317,2025-12-12,Auto de Natal,Arraial do Cabo,RJ,Religioso
318,2025-12-12,500 Milhas de Kart Granja viana (profissional),Cotia,SP,NaN
319,2025-12-10,Festa Literária Internacional Capixaba,Vila Velha,ES,NaN
320,2025-12-10,Feirinha Luar do Cerrado,São Desidério,BA,Gastronômico
321,2025-12-10,FESTA DE NOSSA SENHA DA IMACULADA CONCEIÇÃO - PADROEIRA DE PAU DOS F...,Pau dos Ferros,RN,Religioso
322,2025-12-10,Boas Vindas Cruzeiro VOLENDAM CAT Em Alter do Chão,Alter do Chão,PA,NaN
323,2025-12-10,2º Festival do Cavalo e Feira do Agro,Aquiraz,CE,NaN
324,2025-12-08,SOM DA PRAÇA,Viana,ES,NaN
325,2025-12-08,Festividade da Padroeira Imaculada Mãe dos Pobres,Medicilândia,PA,Religioso
326,2025-12-08,Festa de Nossa Senhora da Conceição da comunidade de Coqueiro,Jandaíra,BA,NaN
327,2025-12-08,FESTA DE NOSSA SENHORA DA CONCEIÇÃO,Igarassu,PE,NaN
328,2025-12-08,FESTA DA PADROEIRA NOSSA SENHORA DA CONCEIÇÃO,Meruoca,CE,Religioso
329,2025-12-08,Círio da Conceição,Santarém,PA,NaN
330,2025-12-08,ANIVERSÁRIO MARACATU ESTRELA BRILHANTE,Igarassu,PE,NaN
331,2025-12-07,Volta Internacional da Pampulha 2025,Belo Horizonte,MG,NaN
332,2025-12-07,V Edição do Festival do Siri da Prainha,Aquiraz,CE,Gastronômico
333,2025-12-07,São Pedro Bike Week,São Pedro da Aldeia,RJ,NaN
334,2025-12-07,Mana Fest,Pipa,RN,Esportivo
335,2025-12-07,II Moto Fest - Moto Vírus,Jaguaré,ES,Esportivo
336,2025-12-07,Expopoço,Poço das Trincheiras,AL,NaN
337,2025-12-07,CORRIDA JERONIMO,Natividade da Serra,SP,Esportivo
338,2025-12-07,BHack Conference,Belo Horizonte,MG,NaN
339,2025-12-07,4ª edição do Festival da Lagoa no Distrito,Arraial do Cabo,RJ,Artístico/Cultural/Folclórico
340,2025-12-07,36ª Feira Nacional de Artesanato 2025,Belo Horizonte,MG,NaN
341,2025-12-06,Mostra de Ciências e Tecnologia,São Roque,SP,Artístico/Cultural/Folclórico
